Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Price range,Aggregate rating,Rating color,Rating text,Votes
17284094,Chick-fil-A,?,Albany,2703 Dawson Rd; Albany; GA 31707,?,Albany; Albany,?,?,?,10,Dollar($),1,3.5,?,?,?
17284409,?,216,Albany,1214 N Westover Blvd; Albany; GA 31707,Albany,Albany; Albany,-84.2091458,31.6155186,Asian; Chinese; Vegetarian,?,Dollar($),?,?,?,?,?
17284139,?,216,Albany,?,?,?,?,31.604905,?,25,?,?,?,Yellow,?,147
17284403,Henry Campbell's Steakhouse,216,?,?,?,Albany; Albany,?,?,Steak; Tapas; Bar Food,70,Dollar($),4,3.5,?,?,51
17284145,?,?,?,2700 Dawson Rd; Albany; GA 31707,?,?,-84.2191,31.6156,Chinese; Seafood; Vegetarian,?,?,?,3.6,?,?,?
17284150,?,216,?,2526 Dawson Rd Ste A; Albany; GA 31707,Albany,?,?,31.6104,?,?,?,?,?,Yellow,Good,153
17284158,Jimmie's Hot Dogs,?,?,204 S Jackson St; Albany; GA 31701,Albany,?,?,?,,?,?,?,?,Yellow,Good,?
17284175,?,216,Albany,?,Albany,Albany; Albany,?,31.6077,?,25,Dollar($),?,?,?,Good,?
17284179,?,216,?,2733 Dawson Rd; Albany; GA 31707,?,?,?,?,?,25,Dollar($),?,3.5,?,?,58
17284197,Mikata Japanese Steakhouse,216,?,?,?,?,-84.2164,?,?,?,Dollar($),3,3.6,?,?,?
17284241,?,?,?,?,Albany,?,?,?,Japanese; Steak; Sushi,40,Dollar($),?,3.5,Yellow,Good,51
17284390,The Catch Seafood Room & Oyster Bar,216,Albany,2332 Whispering Pines Road; Albany; GA 31707,?,?,?,31.605882,Seafood; Tapas; Bar Food,40,?,3,?,?,?,?
17284279,Villa Gargano,?,Albany,1604 N Slappey Blvd; Albany; GA 31701,?,?,-84.1757,31.5985,Italian; Pizza,10,?,1,3.7,?,?,?
17284364,?,216,?,202 W Franklin St; Sylvester; GA 31791,?,Sylvester; Albany,-83.8389,31.5308,American; Breakfast; Diner,10,?,?,?,Orange,?,20
16611114,Whitebull Hotel,14,Armidale,?,?,Armidale; Armidale,?,?,?,?,Dollar($),?,?,Yellow,Good,?
17293281,?,216,Athens,184 W Clayton St; Athens; GA 30601,?,?,?,?,?,40,Dollar($),?,?,Dark Green,?,1821
17293301,?,?,?,197 Oak St; GA 30601,Athens,?,?,33.9535,?,10,Dollar($),1,?,?,?,?
17293409,Sr. Sol 1,216,?,?,?,?,-83.4293,33.9652,?,10,Dollar($),1,?,?,?,?
17293163,Choo Choo Eastside,?,Athens,1055 Gaines School Rd Ste 100; Athens; GA 30605,?,?,-83.3389,?,Japanese; Korean,?,Dollar($),1,?,?,?,439
17293228,The Grill,216,?,?,Athens,Athens; Athens,?,?,Breakfast; Burger; Sandwich,?,Dollar($),1,?,?,?,?
17293880,Big City Bread Cafe,?,?,393 N Finley St; Athens; GA 30601,?,?,?,33.959392,?,10,?,1,4.3,?,Very Good,?
17293169,Clocked,?,Athens,259 W Washington St; Athens; GA 30601,?,?,-83.3797,?,?,?,?,?,?,Green,Very Good,?
17293186,?,216,?,401 E Broad St; Athens; GA 30601,?,?,?,33.958112,American; Italian; Pizza,?,Dollar($),?,4,?,?,?
17293180,?,?,Athens,?,Athens,Athens; Athens,?,?,American; Italian; Pizza,?,Dollar($),2,4.1,Green,?,?
17293205,?,216,?,?,?,Athens; Athens,-83.3872482,33.9415545,?,40,Dollar($),?,4.3,?,?,?
17293229,Grit,216,Athens,199 Prince Ave; Athens; GA 30601,?,?,-83.381625,33.960112,?,10,?,?,?,?,?,800
17293897,Ike & Jane,216,Athens,?,Athens,?,?,33.963296,?,?,Dollar($),?,4.1,?,Very Good,?
17293273,?,?,?,323 E Broad St; Athens; GA 30601,Athens,?,?,?,Italian,?,?,3,4.1,Green,Very Good,?
17293870,?,216,Athens,?,?,Athens; Athens,-83.379251,33.957503,?,25,?,2,?,Green,Very Good,550
17293877,Taqueria Del Sol,216,?,334 Prince Ave; Athens; GA 30601,Athens,?,?,?,Mexican; Spanish,10,?,1,?,?,?,543
17293890,?,?,?,232 W. Hancock Ave.; Athens; GA 30601,?,Athens; Athens,-83.37967,33.959468,International; Southern,?,?,?,4.1,?,Very Good,?
17293915,?,216,?,?,?,?,-83.38728,?,?,10,Dollar($),?,?,?,Very Good,546
17293422,Transmetropolitan,216,?,?,Athens,?,?,33.9584,Italian; Pizza; Sandwich,10,Dollar($),1,4.4,?,Very Good,?
17293873,?,216,?,269 N Hull St; Athens; GA 30601,Athens,?,?,33.958363,?,25,Dollar($),2,?,Green,?,?
17294014,Viva! Argentine Cuisine,?,Athens,?,?,?,-83.3828224,?,?,?,?,1,?,Green,Very Good,?
17294556,Miyabi Kyoto Japanese Steak House,?,Augusta,?,?,Augusta; Augusta,?,?,?,?,Dollar($),3,4.6,?,?,717
17294607,Rae's Coastal Cafe,?,Augusta,?,Augusta,?,-82.0698,33.4791,?,40,?,3,?,Dark Green,?,?
17294279,?,?,?,211 10th Street; Augusta; GA 30901,?,Augusta; Augusta,?,33.4765,?,?,?,2,4.5,?,Excellent,631
17294300,?,?,?,?,Augusta,Augusta; Augusta,?,33.474,?,?,Dollar($),1,?,?,?,372
17295215,Farmhaus Burger,?,Augusta,1204 Broad St; Augusta; GA 30901,Augusta,Augusta; Augusta,?,?,?,?,?,?,3.9,?,?,201
17295028,Manuel's Bread Cafe,216,Augusta,505 Railroad Ave; North Augusta; GA 29841,?,?,?,?,?,?,Dollar($),?,?,?,Good,?
17294642,Sconyers Bar B Que,?,?,2250 Sconyers Way; Augusta; GA 30906,?,?,-82.0327,33.4086,BBQ,25,?,2,?,?,?,?
17295109,Frog Hollow Tavern,216,?,1282 broad street; Augusta; GA 30901,Augusta,?,?,33.478231,American,?,?,?,?,Green,?,?
17294441,Giuseppe's Pizza & Italian Specialities,216,?,3690 Wheeler Rd; Augusta; GA 30909,Augusta,Augusta; Augusta,?,33.4827,?,?,Dollar($),?,?,?,Very Good,?
17294552,Mellow Mushroom,?,?,?,?,?,-81.9721,33.4778,Italian; Pizza; Sandwich,25,?,?,4.4,?,Very Good,?
17294565,?,216,Augusta,976 Broad St; Augusta; GA 30901,Augusta,?,?,33.4764,?,?,Dollar($),1,?,?,?,380
17294623,Rhinehart's Oyster Bar,216,?,3051 Washington Rd; Augusta; GA 30907,?,Augusta; Augusta,-82.0505,?,?,?,Dollar($),?,4,?,Very Good,?
17294712,?,216,?,?,?,?,-82.0301,33.4848,Mexican; Southwestern; Sushi,?,?,?,?,Green,Very Good,?
17295033,?,216,Augusta,?,?,?,?,33.467201,?,40,?,3,?,?,?,?
17295069,The Taj of India,?,Augusta,502 Furys Ferry Rd; Augusta; GA 30907,?,?,?,33.5375868,?,?,?,?,?,Green,?,227
17294261,?,?,Augusta,4460 Washington Road; Evans; GA 30809,?,?,?,33.544342,?,25,Dollar($),2,3.9,?,?,?
17295115,?,?,?,4300 Towne Centre; Evans; GA 30809,Evans,?,?,33.532249,?,?,?,1,?,Green,Very Good,270
17294836,?,216,?,?,Evans,?,-82.141284,?,Burger; Seafood,25,Dollar($),?,4,Green,?,?
17294850,?,216,?,4357 Washington Road; Evans; GA 30809,Evans,?,?,?,?,?,Dollar($),?,4.3,?,?,317
17294883,?,?,?,5174 Wrightsboro Rd; Grovetown; GA 30813,?,Grovetown; Augusta,-82.1997,?,?,10,Dollar($),?,?,Green,Very Good,?
16608864,?,?,?,63 South Western Hwy; Balingup; WA,?,Balingup; Balingup,115.9844924,-33.7845269,?,20,?,2,3.2,Orange,?,?
16604911,?,?,Beechworth,Old Coach House 50 Ford St; Beechworth; Beechworth; VIC,?,Beechworth; Beechworth,?,-36.360439,Pizza; Bar Food,?,?,?,4.6,Dark Green,Excellent,237
17303465,?,?,?,610 W Grove St; Boise; ID 83702,Boise,Boise; Boise,?,?,?,?,Dollar($),2,?,Dark Green,Excellent,?
17303642,Flatbread Neapolitan Pizzeria,?,?,?,Boise,?,-116.203466,?,Italian; Pizza,?,?,?,4.6,?,Excellent,?
17303670,?,?,?,108 S Capitol Blvd; Boise; ID 83702,?,?,-116.2023,43.6149,Breakfast; Sandwich,25,?,?,?,Dark Green,?,?
17303545,?,?,Boise,981 W Grove St; Boise; ID 83702,?,?,?,43.6157,American; Seafood; Steak,?,?,4,?,?,Good,?
17303655,Bar Gernika Basque Pub & Eatery,216,?,202 S Capitol Blvd; Boise; ID 83702,Boise,Boise; Boise,?,43.614,?,10,?,?,?,Green,?,303
17304691,?,?,Boise,?,Boise,?,-116.185034,?,?,70,?,?,4.1,Green,?,538
17303478,?,?,?,?,?,Boise; Boise,-116.2062,?,?,10,Dollar($),?,?,?,Very Good,?
17303480,?,216,Boise,?,?,?,-116.2022,43.6167,?,?,?,?,4.3,?,Very Good,555
17304733,?,?,Boise,?,Boise,?,-116.193409,43.610279,?,?,Dollar($),1,?,Green,?,?
17303646,Flying Pie Pizzaria,?,?,?,?,Boise; Boise,?,43.6192,Pizza,25,Dollar($),2,?,Green,Very Good,?
17304929,?,216,Boise,?,Boise,?,-116.202845,?,American; Burger,25,?,2,4.4,?,?,650
17303684,Guido's Original New York Style Pizza,?,Boise,235 N 5th St; Boise; ID 83702,Boise,?,-116.199,43.615,?,?,?,?,?,Green,Very Good,410
17303772,Los Beto's,216,Boise,5220 W Fairview Ave; Boise; ID 83706,Boise,?,-116.2463,?,?,?,?,1,?,Green,?,?
17305123,Lucianos Italian Restaurant,216,Boise,?,Boise,?,-116.245165,43.6051379,Italian; Seafood; Vegetarian,?,?,2,4.4,?,?,?
17303787,Mai Thai Restaurant,?,?,750 W Idaho St; Boise; ID 83702,?,?,?,43.6162,Sushi; Thai,?,?,3,?,Green,?,340
17303990,Shige Japanese Cuisine,216,?,100 N 8th St; Boise; ID 83702,Boise,Boise; Boise,?,43.6156,?,25,?,2,?,?,Very Good,?
17304741,The Egg Factory,?,?,8061 W Fairview Ave; Boise; ID 83704,Boise,Boise; Boise,?,?,Breakfast,?,Dollar($),1,4.3,?,?,?
17304726,?,?,Boise,1388 S Entertainment Ave; Boise; ID 83709,Boise,Boise; Boise,?,?,Brazilian,?,?,3,?,Green,?,?
17304486,?,?,?,?,?,?,?,43.619108,American; BBQ; Steak,25,?,?,4,Green,?,369
17304533,?,?,?,?,?,Nampa; Boise,-116.5629,?,?,40,?,?,4.4,?,?,487
17316233,Winifreds,?,Cedar Rapids/Iowa City,3847 1st Ave SE; Cedar Rapids; IA 52402,?,?,-91.6336,?,American; Mediterranean; Seafood,?,?,3,?,Yellow,Good,?
17315883,Biaggi's Ristorante Italiano,?,Cedar Rapids/Iowa City,320 Collins Rd NE; Cedar Rapids; IA 52402,?,?,-91.6327,?,?,?,?,?,?,?,Very Good,365
17315995,?,216,Cedar Rapids/Iowa City,?,?,Cedar Rapids; Cedar Rapids/Iowa City,-91.7148,?,Mexican,10,?,1,4.1,?,?,190
17316018,?,?,Cedar Rapids/Iowa City,4755 1st Ave SE; Cedar Rapids; IA 52402,?,?,-91.6224,?,American; Breakfast; Burger,40,Dollar($),?,4.1,Green,?,429
17316038,Irish Democrat,216,?,?,Cedar Rapids,Cedar Rapids; Cedar Rapids/Iowa City,?,42.01,?,?,Dollar($),?,?,Green,Very Good,?
17316771,?,?,Cedar Rapids/Iowa City,?,Cedar Rapids,?,?,42.0215347,?,?,?,2,?,?,Very Good,186
17316201,?,216,?,4362 16th Ave SW; Cedar Rapids; IA 52404,?,?,-91.7266,?,Chinese; Sushi; Thai,?,?,?,4.2,?,?,220
17316208,?,?,Cedar Rapids/Iowa City,540 Boyson Rd NE; Cedar Rapids; IA 52402,?,?,-91.6394,?,Chinese,10,Dollar($),1,4.2,?,?,?
17316389,?,?,?,303 2nd Street; Coralville; IA 52241,?,Coralville; Cedar Rapids/Iowa City,?,41.670466,American; Italian; Pizza,25,?,?,?,Yellow,Good,?
17316278,?,?,Cedar Rapids/Iowa City,?,Coralville,?,-91.5687,?,?,25,?,?,4.1,Green,Very Good,?
17316744,?,216,?,?,Iowa City,?,?,41.660982,?,?,Dollar($),1,4.9,?,Excellent,820
17316751,The Hamburg Inn No. 2 Inc.,216,?,?,?,Iowa City; Cedar Rapids/Iowa City,?,?,?,10,Dollar($),?,?,?,?,488
17316766,?,216,Cedar Rapids/Iowa City,?,Iowa City,?,-91.531093,?,Breakfast; Diner,?,?,?,3.6,Yellow,Good,253
